datetime,open,high,low,close,volume
2025-03-30,0.001322,0.001355,0.001288,0.001322,806757917.0
2025-03-31,0.001323,0.001372,0.001285,0.001321,640790669.0
2025-04-01,0.001321,0.001381,0.001262,0.001273,814842325.0
2025-04-02,0.001273,0.001298,0.001144,0.001159,1084363797.0
2025-04-03,0.00116,0.001207,0.001079,0.001132,702243856.0
2025-04-04,0.001133,0.001167,0.001084,0.001149,626365895.0
2025-04-05,0.001146,0.00117,0.001112,0.001131,568610893.0
2025-04-06,0.001128,0.001133,0.000958,0.000987,1147150060.0
2025-04-07,0.000987,0.001077,0.00089,0.001032,1605331746.0
2025-04-08,0.001032,0.00107,0.000968,0.000988,1037449166.0
2025-04-09,0.000988,0.00113,0.000942,0.00111,834888395.0
2025-04-10,0.00111,0.001122,0.001031,0.001076,593472801.0
2025-04-11,0.001076,0.001158,0.00107,0.001139,648729902.0
2025-04-12,0.001139,0.001206,0.001111,0.001203,571148077.0
2025-04-13,0.001198,0.001204,0.001099,0.001117,455156340.0
2025-04-14,0.001115,0.001168,0.001107,0.001116,323957556.0
2025-04-15,0.001115,0.001142,0.001077,0.001094,466378073.0
2025-04-16,0.001094,0.001108,0.001039,0.001077,850886261.0
2025-04-17,0.001078,0.001138,0.00107,0.001119,904823563.0
2025-04-18,0.001122,0.001235,0.001111,0.001223,991445689.0
2025-04-19,0.001223,0.001243,0.001183,0.001228,372950397.0
2025-04-20,0.001222,0.001304,0.001213,0.001268,700692378.0
2025-04-21,0.001268,0.00133,0.001258,0.001265,454177711.0
2025-04-22,0.001264,0.001422,0.001242,0.001415,601293531.0
2025-04-23,0.001415,0.001542,0.00141,0.001477,1012491585.0
2025-04-24,0.001476,0.001513,0.001378,0.001495,599770670.0
2025-04-25,0.001494,0.001617,0.001468,0.001608,705071227.0
2025-04-26,0.001608,0.00174,0.001542,0.001672,1294276868.0
2025-04-27,0.001673,0.001676,0.001486,0.001511,905830892.0
2025-04-28,0.001511,0.001635,0.001458,0.001584,742683118.0
2025-04-29,0.001584,0.001602,0.001474,0.001502,329764161.0
2025-04-30,0.0015,0.001594,0.00147,0.001587,527152150.0
2025-05-01,0.001587,0.001632,0.00156,0.001575,409670501.0
2025-05-02,0.001579,0.001625,0.001541,0.001608,418107781.0
2025-05-03,0.001601,0.001603,0.001427,0.001428,420560988.0
2025-05-04,0.001429,0.001443,0.001374,0.001393,300124915.0
2025-05-05,0.001392,0.001421,0.001342,0.001372,299296887.0
2025-05-06,0.001372,0.001406,0.001306,0.001358,530699627.0
2025-05-07,0.001361,0.001405,0.00133,0.001394,357873581.0
2025-05-08,0.001394,0.001672,0.001392,0.00164,764238221.0
2025-05-09,0.00164,0.0021,0.001637,0.002053,3422679501.0
2025-05-10,0.002053,0.002366,0.001991,0.002203,2741918207.0
2025-05-11,0.002202,0.002324,0.002013,0.002176,1767926180.0
2025-05-12,0.002177,0.002771,0.002166,0.002319,4214574427.0
2025-05-13,0.002315,0.003236,0.002119,0.003025,5480358394.0
2025-05-14,0.003027,0.003166,0.002624,0.002671,3306784491.0
2025-05-15,0.002672,0.002818,0.002296,0.002367,3070922217.0
2025-05-16,0.002373,0.002448,0.002172,0.002193,1500071827.0
2025-05-17,0.002194,0.002203,0.002041,0.002091,1023732014.0
2025-05-18,0.002089,0.002455,0.002079,0.002342,2219646565.0
2025-05-19,0.002346,0.002348,0.00204,0.002234,1406003626.0
2025-05-20,0.002232,0.002296,0.002077,0.002224,853696221.0
2025-05-21,0.002222,0.002487,0.002163,0.002337,1434009986.0
2025-05-22,0.00234,0.002625,0.002337,0.002612,1925078694.0
2025-05-23,0.002616,0.002809,0.002238,0.002258,1374529844.0
2025-05-24,0.002259,0.002358,0.002227,0.002295,509537594.0
2025-05-25,0.002293,0.002326,0.00209,0.002281,833877689.0
2025-05-26,0.002285,0.002405,0.002225,0.002243,560779819.0
2025-05-27,0.002243,0.002388,0.002167,0.002295,595432535.0
2025-05-28,0.002296,0.002383,0.002177,0.002301,560531012.0
2025-05-29,0.002302,0.002401,0.00215,0.002161,483327690.0
2025-05-30,0.002158,0.002178,0.001751,0.001768,1339197175.0
2025-05-31,0.001767,0.001872,0.001666,0.00184,564376237.0
2025-06-01,0.001835,0.001957,0.001769,0.001913,415588517.0
2025-06-02,0.001919,0.001983,0.001807,0.001948,636429051.0
2025-06-03,0.001951,0.002047,0.001932,0.001952,593084012.0
2025-06-04,0.001954,0.002012,0.001822,0.001842,602034283.0
2025-06-05,0.001841,0.001888,0.001637,0.001664,665222314.0
2025-06-06,0.001663,0.00183,0.001659,0.001703,787558347.0
2025-06-07,0.001703,0.001848,0.001699,0.001806,252827623.0
2025-06-08,0.001808,0.00188,0.001745,0.001827,216942432.0
2025-06-09,0.001832,0.001986,0.001781,0.001974,333229520.0
2025-06-10,0.001978,0.002073,0.001935,0.002051,688823946.0
2025-06-11,0.002051,0.002063,0.00187,0.001887,677430036.0
2025-06-12,0.001887,0.001887,0.001689,0.001696,880213041.0
2025-06-13,0.001697,0.001697,0.001528,0.001649,1011205443.0
2025-06-14,0.001651,0.001666,0.001572,0.001607,325020111.0
2025-06-15,0.001609,0.001633,0.001569,0.001624,470487250.0
2025-06-16,0.001626,0.001713,0.001604,0.001611,482221705.0
2025-06-17,0.001612,0.001651,0.001483,0.001534,656557040.0
2025-06-18,0.001537,0.001569,0.001444,0.001547,285644978.0
2025-06-19,0.001551,0.001574,0.001495,0.001527,159105825.0
2025-06-20,0.001528,0.001566,0.001415,0.001457,498504186.0
2025-06-21,0.001458,0.001492,0.001315,0.001367,515885829.0
2025-06-22,0.00137,0.001392,0.001227,0.001298,613878744.0
2025-06-23,0.001302,0.001496,0.001295,0.001488,405236383.0
2025-06-24,0.001493,0.001551,0.001477,0.001517,373448466.0
2025-06-25,0.001517,0.001537,0.001437,0.001451,462256369.0
2025-06-26,0.001451,0.001517,0.001382,0.001393,278709639.0
2025-06-27,0.001394,0.001453,0.001369,0.001439,320364743.0
2025-06-28,0.001435,0.001561,0.00142,0.001534,325836978.0
2025-06-29,0.001536,0.001658,0.001511,0.001629,287723410.0
2025-06-30,0.00163,0.001639,0.00153,0.001562,301889914.0
2025-07-01,0.001562,0.001568,0.001424,0.001436,301562531.0
2025-07-02,0.001438,0.001691,0.001411,0.001642,526423147.0
2025-07-03,0.001643,0.001713,0.001583,0.001641,802622553.0
2025-07-04,0.00164,0.00167,0.001487,0.001518,519407117.0
2025-07-05,0.001521,0.001562,0.001469,0.00151,223222972.0
2025-07-06,0.001511,0.001638,0.001491,0.001589,327217775.0
2025-07-07,0.001591,0.001638,0.00153,0.00155,327420399.0
