datetime,open,high,low,close,volume
2025-03-30,0.0262,0.02845,0.02597,0.02657,242095180.0
2025-03-31,0.02658,0.02719,0.02516,0.02545,204735670.0
2025-04-01,0.02545,0.02732,0.02461,0.02544,194645060.0
2025-04-02,0.02546,0.02585,0.0231,0.02348,252980430.0
2025-04-03,0.02348,0.02423,0.02222,0.02288,150624730.0
2025-04-04,0.0229,0.02342,0.02175,0.02305,213382880.0
2025-04-05,0.02305,0.02379,0.02248,0.02309,123614740.0
2025-04-06,0.02308,0.02359,0.02005,0.02081,249735630.0
2025-04-07,0.02081,0.02266,0.01934,0.02147,324875490.0
2025-04-08,0.02147,0.02246,0.02072,0.02089,185311520.0
2025-04-09,0.02089,0.02368,0.01982,0.02332,217829350.0
2025-04-10,0.02333,0.02334,0.01993,0.02064,363302200.0
2025-04-11,0.02063,0.02168,0.02043,0.021,176172480.0
2025-04-12,0.02101,0.02251,0.02052,0.02207,159361410.0
2025-04-13,0.02208,0.02228,0.01706,0.0176,323821050.0
2025-04-14,0.01761,0.01936,0.01665,0.01741,452847350.0
2025-04-15,0.01742,0.01814,0.01681,0.01706,212175610.0
2025-04-16,0.01706,0.01813,0.01703,0.01745,215357530.0
2025-04-17,0.01746,0.01759,0.01574,0.01627,314528610.0
2025-04-18,0.01628,0.01718,0.01518,0.0156,161470820.0
2025-04-19,0.01559,0.01698,0.01558,0.01668,127986130.0
2025-04-20,0.01668,0.01977,0.01638,0.01873,367574290.0
2025-04-21,0.01872,0.01955,0.01744,0.01757,135656730.0
2025-04-22,0.01756,0.01879,0.01663,0.0187,121247470.0
2025-04-23,0.0187,0.01998,0.01827,0.01959,142242870.0
2025-04-24,0.01958,0.02288,0.01892,0.02124,502875440.0
2025-04-25,0.02124,0.02307,0.02057,0.0224,235760290.0
2025-04-26,0.02239,0.02393,0.02145,0.02228,141128980.0
2025-04-27,0.02228,0.02231,0.0203,0.02073,107395580.0
2025-04-28,0.02073,0.02156,0.01986,0.02093,99225520.0
2025-04-29,0.02094,0.02212,0.02036,0.02061,82477650.0
2025-04-30,0.02061,0.0241,0.02051,0.02337,329835550.0
2025-05-01,0.02336,0.02421,0.02182,0.02224,132527230.0
2025-05-02,0.02223,0.02284,0.02174,0.02245,66239190.0
2025-05-03,0.02245,0.0225,0.0201,0.02037,63640950.0
2025-05-04,0.02039,0.02041,0.01895,0.019,65668330.0
2025-05-05,0.01901,0.01978,0.01872,0.01909,75025200.0
2025-05-06,0.01908,0.02121,0.01882,0.02016,152639870.0
2025-05-07,0.02015,0.0209,0.01945,0.02065,59741380.0
2025-05-08,0.02066,0.02246,0.02034,0.02219,60625220.0
2025-05-09,0.0222,0.02477,0.02204,0.0243,83228900.0
2025-05-10,0.0243,0.0257,0.02358,0.02559,84933060.0
2025-05-11,0.02556,0.02652,0.02404,0.02503,76285830.0
2025-05-12,0.02504,0.02745,0.02346,0.02486,115295400.0
2025-05-13,0.02486,0.02761,0.02348,0.02655,75503710.0
2025-05-14,0.02655,0.02718,0.02508,0.02509,51104680.0
2025-05-15,0.0251,0.02553,0.02244,0.0231,58930740.0
2025-05-16,0.02311,0.02404,0.02293,0.0231,55085920.0
2025-05-17,0.02312,0.02322,0.02196,0.02237,45413570.0
2025-05-18,0.02238,0.0239,0.02137,0.02312,73014210.0
2025-05-19,0.02313,0.02315,0.02141,0.02294,41320530.0
2025-05-20,0.02294,0.02345,0.02219,0.02343,39563300.0
2025-05-21,0.02343,0.02427,0.02293,0.02391,54089180.0
2025-05-22,0.02391,0.02639,0.02388,0.02619,55572280.0
2025-05-23,0.02619,0.0263,0.0233,0.02349,57228570.0
2025-05-24,0.02349,0.02556,0.02347,0.02403,37932450.0
2025-05-25,0.02404,0.02417,0.02238,0.02351,29256500.0
2025-05-26,0.02351,0.02424,0.02305,0.02348,30314480.0
2025-05-27,0.02348,0.02436,0.02269,0.02391,37085660.0
2025-05-28,0.02391,0.02425,0.02323,0.02411,27104330.0
2025-05-29,0.02413,0.02465,0.02344,0.02359,40268380.0
2025-05-30,0.02359,0.02366,0.02015,0.02031,54155120.0
2025-05-31,0.02034,0.02268,0.02007,0.02234,67019920.0
2025-06-01,0.02234,0.02406,0.022,0.02385,168673410.0
2025-06-02,0.02384,0.0245,0.02306,0.02412,50322460.0
2025-06-03,0.02413,0.02447,0.02328,0.02356,51203450.0
2025-06-04,0.02356,0.02392,0.02221,0.02237,50961450.0
2025-06-05,0.02237,0.02284,0.02069,0.02083,57691740.0
2025-06-06,0.02083,0.02248,0.02068,0.02165,34230740.0
2025-06-07,0.02166,0.02397,0.02156,0.02305,74745170.0
2025-06-08,0.02304,0.02758,0.02282,0.02558,873291850.0
2025-06-09,0.02558,0.03173,0.02457,0.03056,377763620.0
2025-06-10,0.03057,0.03166,0.02755,0.02906,224439630.0
2025-06-11,0.02906,0.02954,0.02616,0.02677,100365100.0
2025-06-12,0.02676,0.02678,0.02327,0.02362,113334130.0
2025-06-13,0.02363,0.02445,0.02205,0.02306,197767160.0
2025-06-14,0.02306,0.02345,0.02116,0.02171,77023200.0
2025-06-15,0.0217,0.0234,0.02101,0.02181,105268860.0
2025-06-16,0.02182,0.02301,0.02139,0.02174,83634530.0
2025-06-17,0.02173,0.02448,0.02129,0.02401,329800980.0
2025-06-18,0.02402,0.02502,0.02196,0.02226,241701270.0
2025-06-19,0.02225,0.02383,0.022,0.02361,121668340.0
2025-06-20,0.0236,0.031,0.02268,0.02823,2031835690.0
2025-06-21,0.02823,0.02883,0.02453,0.02655,840625250.0
2025-06-22,0.02654,0.02786,0.02543,0.02734,538414030.0
2025-06-23,0.02735,0.02782,0.02519,0.02767,338424790.0
2025-06-24,0.02767,0.02869,0.02628,0.02788,253881380.0
2025-06-25,0.02789,0.0377,0.02645,0.03197,1763313580.0
2025-06-26,0.03197,0.03244,0.02752,0.02801,490967140.0
2025-06-27,0.028,0.03139,0.02771,0.02864,476427780.0
2025-06-28,0.02862,0.02929,0.02717,0.02778,134327540.0
2025-06-29,0.02778,0.02898,0.02727,0.02875,128946530.0
2025-06-30,0.02876,0.0292,0.02744,0.02818,92494310.0
2025-07-01,0.0282,0.02828,0.02552,0.02566,76849760.0
2025-07-02,0.02566,0.02709,0.0253,0.02658,61466360.0
2025-07-03,0.02658,0.02709,0.02544,0.02567,53940860.0
2025-07-04,0.02567,0.02567,0.02363,0.02425,51595910.0
2025-07-05,0.02425,0.02622,0.02355,0.02388,108540100.0
2025-07-06,0.02387,0.02518,0.02371,0.02467,40495530.0
2025-07-07,0.02466,0.02505,0.02374,0.0238,37895760.0
