timestamp,open,high,low,close,volume,liquidity_usd
2024-09-13,18.55,18.93,18.24,18.86,76936.892791,1451029.79803826
2024-09-14,18.86,18.88,18.46,18.61,53437.240914,994467.05340954
2024-09-15,18.61,18.65,17.67,17.79,57815.939991,1028545.5724398899
2024-09-16,17.79,17.89,17.49,17.74,103307.109362,1832668.12008188
2024-09-17,17.75,18.22,17.63,17.98,108739.553381,1955137.1697903802
2024-09-18,17.98,18.33,17.49,18.32,123572.075258,2263840.41872656
2024-09-19,18.32,19.17,18.32,18.8,132269.837146,2486672.9383448004
2024-09-20,18.81,19.29,18.56,19.02,160798.759249,3058392.40091598
2024-09-21,18.99,19.46,18.85,19.36,87804.511346,1699895.33965856
2024-09-22,19.37,19.51,18.44,18.92,110871.286511,2097684.7407881203
2024-09-23,18.91,19.42,18.53,19.12,97029.884386,1855211.3894603201
2024-09-24,19.12,19.54,18.83,19.43,191819.791932,3727058.55723876
2024-09-25,19.43,19.83,19.26,19.3,217946.242356,4206362.4774708
2024-09-26,19.31,20.37,19.05,20.32,241547.777803,4908250.8449569605
2024-09-27,20.31,21.06,20.24,20.83,215636.290746,4491703.93623918
2024-09-28,20.84,20.97,20.16,20.57,186441.497443,3835101.60240251
2024-09-29,20.57,20.73,20.16,20.44,160509.184012,3280807.7212052806
2024-09-30,20.44,20.49,19.31,19.47,313732.280205,6108367.49559135
2024-10-01,19.47,19.84,18.01,18.43,248307.824282,4576313.20151726
2024-10-02,18.41,18.73,17.74,17.94,204978.027133,3677305.80676602
2024-10-03,17.93,18.65,17.78,18.52,282275.454849,5227741.423803479
2024-10-04,18.52,18.91,18.33,18.77,139391.419501,2616376.94403377
2024-10-05,18.78,18.86,18.34,18.54,64428.619052,1194506.59722408
2024-10-06,18.55,18.9,18.45,18.76,66324.280369,1244243.49972244
2024-10-07,18.75,19.13,18.52,18.56,126191.741096,2342118.71474176
2024-10-08,18.55,18.84,18.19,18.34,90057.388838,1651652.51128892
2024-10-09,18.34,18.53,17.92,18.12,96583.542443,1750093.78906716
2024-10-10,18.12,18.4,17.87,18.2,69379.235232,1262702.0812224
2024-10-11,18.19,18.74,18.17,18.59,94952.780259,1765172.1850148102
2024-10-12,18.59,18.94,18.47,18.79,66922.593076,1257475.52389804
2024-10-13,18.77,18.84,18.28,18.55,100036.555369,1855678.10209495
2024-10-14,18.55,19.64,18.38,19.5,193900.986781,3781069.2422295003
2024-10-15,19.5,19.77,18.7,19.36,243378.903398,4711815.56978528
2024-10-16,19.36,19.8,19.19,19.38,157768.57382,3057554.9606315996
2024-10-17,19.38,19.63,18.75,19.05,161339.488132,3073517.2489146
2024-10-18,19.04,19.42,18.99,19.37,88625.452281,1716675.0106829703
2024-10-19,19.36,19.93,19.21,19.9,143658.552901,2858805.2027298994
2024-10-20,19.9,20.36,19.54,20.21,181271.037632,3663487.67054272
2024-10-21,20.2,20.33,19.35,19.42,149002.670754,2893631.86604268
2024-10-22,19.42,19.54,18.88,19.07,114880.147377,2190764.41047939
2024-10-23,19.08,19.1,18.18,18.65,136535.606692,2546389.0648057996
2024-10-24,18.65,19.01,18.43,18.88,132992.948292,2510906.8637529598
2024-10-25,18.88,19.5,17.52,18.25,324446.976178,5921157.3152485
2024-10-26,18.24,18.52,17.97,18.23,116866.468694,2130475.72429162
2024-10-27,18.24,18.56,18.07,18.42,123702.337483,2278597.05643686
2024-10-28,18.41,19.13,18.13,19.0,228381.536642,4339249.196198
2024-10-29,19.01,19.53,18.96,19.44,179729.193514,3493935.5219121603
2024-10-30,19.43,19.81,19.12,19.45,166840.850851,3245054.5490519498
2024-10-31,19.45,19.53,18.4,18.6,236299.218714,4395165.4680804005
2024-11-01,18.59,19.04,18.16,18.47,177457.742198,3277644.4983970597
