timestamp,open,high,low,close,volume,liquidity_usd
2024-09-13,1.999,2.09,1.949,2.068,736664.3238,1523421.8216184
2024-09-14,2.069,2.098,1.979,2.009,503012.5517,1010552.2163653
2024-09-15,2.01,2.074,1.914,1.941,577637.2817,1121193.9637797002
2024-09-16,1.939,1.973,1.865,1.894,554012.9723,1049300.5695362
2024-09-17,1.892,2.074,1.878,2.025,897446.1898,1817328.534345
2024-09-18,2.024,2.099,1.944,2.098,1140206.0264,2392152.2433872
2024-09-19,2.097,2.28,2.093,2.207,973316.9518,2148110.5126226
2024-09-20,2.208,2.388,2.167,2.297,1226762.4113,2817873.2587561
2024-09-21,2.297,2.3,2.214,2.28,514106.1595,1172162.04366
2024-09-22,2.281,2.287,2.068,2.15,782768.7053,1682952.716395
2024-09-23,2.149,2.311,2.114,2.249,1444071.4529,3247716.6975721
2024-09-24,2.249,2.449,2.177,2.4,1853432.6642,4448238.39408
2024-09-25,2.405,2.438,2.277,2.298,1433504.4005,3294193.112349
2024-09-26,2.298,2.527,2.251,2.427,2134074.8564,5179399.6764828
2024-09-27,2.425,2.55,2.39,2.492,2515195.4888,6267867.1580896
2024-09-28,2.497,2.571,2.415,2.48,1398828.6923,3469095.156904
2024-09-29,2.481,2.573,2.36,2.497,1170051.639,2921618.942583
2024-09-30,2.496,2.517,2.255,2.291,1558259.7829,3569973.1626239
2024-10-01,2.283,2.396,2.03,2.1,2019608.5951,4241178.04971
2024-10-02,2.098,2.212,1.997,2.059,1439782.5596,2964512.2902164003
2024-10-03,2.057,2.121,1.917,1.991,1128088.6049,2246024.4123559
2024-10-04,1.987,2.101,1.968,2.058,1041734.7804,2143890.1780632
2024-10-05,2.055,2.092,1.987,2.03,491533.1207,997812.2350209999
2024-10-06,2.03,2.112,1.957,2.091,1359740.7914,2843217.9948174004
2024-10-07,2.093,2.188,1.98,1.986,2138673.6158,4247405.800978799
2024-10-08,1.987,2.022,1.89,1.936,979207.9731,1895746.6359215998
2024-10-09,1.939,1.983,1.864,1.901,1067922.7159,2030121.0829259
2024-10-10,1.898,1.933,1.8,1.878,1446356.4936,2716257.4949807995
2024-10-11,1.878,1.961,1.865,1.906,888168.6179,1692849.3857174
2024-10-12,1.906,2.008,1.902,1.953,952503.5384,1860239.4104952
2024-10-13,1.954,2.013,1.891,1.985,935475.8588,1856919.5797180003
2024-10-14,1.985,2.368,1.94,2.318,2018658.6945,4679250.853851
2024-10-15,2.321,2.457,2.144,2.345,2644899.7754,6202289.973313001
2024-10-16,2.344,2.344,2.179,2.208,1108462.3857,2447484.9476256003
2024-10-17,2.209,2.239,2.072,2.129,982357.5369,2091439.1960600999
2024-10-18,2.126,2.271,2.123,2.221,1252643.9079,2782122.1194459
2024-10-19,2.222,2.286,2.151,2.281,1264270.5571,2883801.1407451006
2024-10-20,2.28,2.384,2.222,2.337,1472421.6723,3441049.4481651
2024-10-21,2.337,2.409,2.167,2.171,1417046.0311,3076406.9335180996
2024-10-22,2.17,2.26,2.154,2.177,994361.0547,2164724.0160819
2024-10-23,2.177,2.294,2.073,2.277,2258222.745,5141973.190365001
2024-10-24,2.278,2.572,2.276,2.409,6262205.697,15085653.524072997
2024-10-25,2.411,2.449,2.052,2.166,3909669.152,8468343.383232
2024-10-26,2.164,2.323,2.097,2.268,2465834.1787,5592511.917291599
2024-10-27,2.266,2.506,2.236,2.49,2731272.5055,6800868.538695
2024-10-28,2.491,2.561,2.392,2.479,3825406.7893,9483183.4306747
2024-10-29,2.477,2.555,2.399,2.453,3201065.9643,7852214.8104278995
2024-10-30,2.454,2.533,2.304,2.371,2364776.5178,5606885.1237038
2024-10-31,2.37,2.404,2.255,2.289,1835350.5018,4201117.2986202
2024-11-01,2.288,2.371,2.212,2.245,2380987.3006,5345316.489847001
