timestamp,open,high,low,close,volume,liquidity_usd
2024-09-13,39.46,40.6,38.98,40.14,40079.140175,1608776.6866245
2024-09-14,40.14,40.22,39.26,39.41,16669.528248,656946.1082536799
2024-09-15,39.41,39.45,38.15,38.51,29529.439934,1137178.73185834
2024-09-16,38.51,38.58,37.73,38.56,25393.750968,979183.03732608
2024-09-17,38.55,39.02,37.0,38.14,73432.680135,2800722.4203489
2024-09-18,38.12,38.48,37.23,38.33,33481.194363,1283334.1799337901
2024-09-19,38.33,40.65,38.33,40.32,69433.282109,2799549.93463488
2024-09-20,40.33,41.0,38.84,39.35,65099.841806,2561678.7750661
2024-09-21,39.35,39.9,39.16,39.73,22788.818824,905399.77187752
2024-09-22,39.74,40.83,39.2,40.07,43397.878992,1738953.01120944
2024-09-23,40.07,40.88,39.81,40.12,26447.23743,1061063.1656916
2024-09-24,40.14,40.56,39.41,40.12,36282.092118,1455637.53577416
2024-09-25,40.12,40.5,39.4,39.5,29540.278567,1166841.0033965001
2024-09-26,39.53,43.2,39.15,42.33,126646.67847,5360953.8996351
2024-09-27,42.33,43.0,41.5,42.51,59857.971118,2544562.35222618
2024-09-28,42.51,42.99,42.1,42.88,28426.32912,1218920.9926656
2024-09-29,42.87,43.0,42.13,42.88,22598.742386,969034.0735116801
2024-09-30,42.88,42.88,41.06,41.41,43415.949823,1797854.48217043
2024-10-01,41.41,42.4,39.57,39.86,54152.927588,2158535.69365768
2024-10-02,39.86,40.75,39.81,40.09,33182.335319,1330279.82293871
2024-10-03,40.11,40.81,39.57,40.8,31179.313939,1272116.0087112
2024-10-04,40.78,41.8,40.69,41.78,31560.966234,1318617.16925652
2024-10-05,41.78,41.8,41.5,41.63,12323.172629,513013.6765452701
2024-10-06,41.63,41.8,41.5,41.7,10535.91479,439347.6467430001
2024-10-07,41.7,42.13,41.3,41.8,34403.150365,1438051.685257
2024-10-08,41.81,43.0,41.68,42.95,51944.97275,2231036.5796125
2024-10-09,42.96,43.4,40.69,40.92,58253.203568,2383721.09000256
2024-10-10,40.95,42.1,40.83,41.63,34665.901303,1443141.47124389
2024-10-11,41.63,42.5,41.41,42.34,31281.271802,1324449.04809668
2024-10-12,42.36,42.79,42.0,42.25,28687.065122,1212028.5014045
2024-10-13,42.25,42.4,41.39,41.58,24531.398642,1020015.55553436
2024-10-14,41.59,42.55,41.31,42.37,50290.365651,2130802.79263287
2024-10-15,42.39,42.41,41.21,41.49,46457.115815,1927505.73516435
2024-10-16,41.51,41.7,41.08,41.12,35513.144872,1460300.5171366397
2024-10-17,41.13,41.49,40.61,40.61,27912.241642,1133516.13308162
2024-10-18,40.63,41.0,40.0,40.43,56602.125225,2288423.92284675
2024-10-19,40.43,40.79,40.29,40.54,26010.557551,1054468.0031175402
2024-10-20,40.54,40.85,40.06,40.81,33769.382514,1378128.50039634
2024-10-21,40.82,41.24,40.07,40.29,35923.756588,1447368.1529305198
2024-10-22,40.29,40.48,40.0,40.17,28749.038475,1154848.87554075
2024-10-23,40.17,40.35,39.28,39.44,28587.276939,1127482.20247416
2024-10-24,39.46,40.26,39.4,39.89,18620.596694,742775.60212366
2024-10-25,39.91,39.99,38.6,39.14,37631.947857,1472914.43912298
2024-10-26,39.14,39.3,38.45,38.87,31453.627551,1222602.50290737
2024-10-27,38.89,39.37,38.67,38.89,19310.286163,750977.0288790701
2024-10-28,38.9,39.23,38.59,39.06,35180.962285,1374168.3868521
2024-10-29,39.07,40.7,38.8,39.47,97423.391589,3845301.26601783
2024-10-30,39.48,39.63,39.09,39.18,32585.608014,1276704.12198852
2024-10-31,39.19,39.23,38.22,38.28,36230.436067,1386901.0926447602
2024-11-01,38.3,38.86,37.97,38.07,40652.758758,1547650.5259170602
2024-11-02,38.07,38.35,37.52,37.89,15253.837974,577967.9208348601
2024-11-03,37.91,37.98,37.01,37.43,30796.903376,1152728.09336368
2024-11-04,37.44,37.86,36.99,37.37,21644.997724,808873.56494588
2024-11-05,37.4,38.18,37.13,38.01,28460.499855,1081783.5994885499
2024-11-06,38.01,39.47,37.95,39.21,106669.506489,4182511.3494336903
2024-11-07,39.22,40.54,39.22,40.34,99570.584959,4016677.3972460604
2024-11-08,40.35,40.6,39.66,39.81,64208.144495,2556126.2323459503
2024-11-09,39.81,43.6,39.6,42.16,224348.346313,9458526.280556079
2024-11-10,42.15,44.09,42.02,42.76,221630.967235,9476940.1589686
2024-11-11,42.78,48.22,42.69,47.95,286403.917862,13733067.861482901
2024-11-12,47.95,47.99,43.68,45.13,201552.675641,9096072.25167833
2024-11-13,45.13,45.8,42.54,43.59,187798.323098,8186128.903841821
2024-11-14,43.59,46.1,43.0,43.39,149915.773853,6504845.42748167
2024-11-15,43.4,43.99,43.02,43.89,71136.427365,3122177.7970498498
2024-11-16,43.88,46.68,43.77,45.28,161269.637611,7302289.19102608
2024-11-17,45.28,46.31,44.07,44.31,124277.753157,5506747.24238667
2024-11-18,44.33,45.3,43.7,44.02,101055.97391,4448483.9715182
2024-11-19,44.02,44.4,43.76,43.99,58119.152906,2556661.53633494
2024-11-20,43.99,44.2,43.46,43.55,74586.366997,3248236.28271935
2024-11-21,43.52,46.01,43.22,45.55,148088.422333,6745427.637268149
2024-11-22,45.59,47.11,44.96,46.34,133958.522385,6207637.9273209
2024-11-23,46.35,52.69,46.15,51.12,414166.812022,21172207.430564642
2024-11-24,51.1,56.74,51.05,54.07,361200.141439,19530091.64760673
2024-11-25,54.09,56.9,51.75,52.66,188651.749081,9934401.106605459
2024-11-26,52.67,56.2,51.06,52.06,191191.359234,9953422.16172204
2024-11-27,52.08,55.25,51.98,55.22,107211.878397,5920239.92508234
2024-11-28,55.22,55.49,52.5,53.5,92651.90538,4956876.93783
2024-11-29,53.52,55.48,52.01,54.2,142094.528015,7701523.418413
2024-11-30,54.22,55.1,53.4,53.92,86770.635453,4678672.66362576
2024-12-01,53.93,55.8,53.28,54.94,91352.039591,5018881.055129539
2024-12-02,54.96,56.88,53.41,54.35,156005.41308,8478894.200898001
2024-12-03,54.37,64.26,52.5,63.17,302512.974367,19109744.59076339
2024-12-04,63.16,63.39,56.82,58.07,421654.286422,24485464.41252554
2024-12-05,58.12,59.6,55.32,56.71,245258.508526,13908610.018509459
2024-12-06,56.67,61.8,56.51,59.54,199067.812017,11852497.527492179
2024-12-07,59.52,61.5,59.03,60.07,97359.370999,5848377.41590993
2024-12-08,60.07,60.3,58.21,59.82,61403.58061,3673162.1920902
2024-12-09,59.82,59.95,53.38,54.61,171847.247934,9384578.20967574
2024-12-10,54.65,55.63,50.57,52.81,212758.790379,11235791.719914991
2024-12-11,52.8,55.55,51.62,55.16,93808.272983,5174464.33774228
2024-12-12,55.13,58.0,54.78,55.06,112715.80268,6206132.0955608
2024-12-13,55.09,55.46,53.53,55.06,66305.020538,3650754.43082228
2024-12-14,55.06,55.8,53.1,53.37,63069.36065,3366011.7778905
2024-12-15,53.37,54.85,53.11,54.51,36426.572408,1985612.4619600798
2024-12-16,54.51,55.33,53.36,53.7,63664.925744,3418806.5124528003
2024-12-17,53.72,53.84,52.45,52.78,90309.528182,4766536.89744596
2024-12-18,52.79,52.89,48.3,48.66,113210.567994,5508826.23858804
2024-12-19,48.68,49.29,45.11,45.75,207265.71722,9482406.562815
2024-12-20,45.8,46.33,41.81,46.15,176699.357102,8154675.3302573
2024-12-21,46.14,48.24,44.0,45.12,88737.545231,4003838.0408227197
2024-12-22,45.12,46.0,44.5,44.89,47140.971945,2116158.23061105
2024-12-23,44.9,46.66,44.52,46.22,40343.072076,1864656.7913527198
2024-12-24,46.23,48.0,45.5,47.36,66907.02444,3168716.6774783996
2024-12-25,47.38,48.32,46.6,47.78,46303.516561,2212382.0212845798
2024-12-26,47.81,53.7,47.6,50.23,338616.974842,17008730.64631366
2024-12-27,50.24,52.98,49.11,52.25,135288.134176,7068805.0106959995
2024-12-28,52.2,56.68,51.99,53.02,230037.363586,12196581.01732972
2024-12-29,53.0,53.56,49.09,50.13,136422.462153,6838858.02772989
2024-12-30,50.14,51.87,49.0,49.97,83239.688088,4159487.21375736
2024-12-31,49.99,50.55,49.0,49.15,66878.834555,3287094.7183782496
2025-01-01,49.16,50.0,48.11,48.56,56650.947697,2750970.0201663203
2025-01-02,48.56,50.32,48.45,49.87,77710.917544,3875443.4579192796
2025-01-03,49.85,51.63,49.15,50.76,74383.240818,3775693.30392168
2025-01-04,50.76,51.93,50.13,50.95,52085.412262,2653751.7547489
2025-01-05,50.95,51.45,49.8,50.32,42195.881881,2123296.77625192
2025-01-06,50.35,51.33,50.3,50.63,48166.26811,2438658.1544093
2025-01-07,50.64,50.87,48.3,48.41,58382.669937,2826305.05165017
2025-01-08,48.39,49.0,44.82,46.77,98161.027558,4590991.258887661
2025-01-09,46.79,48.34,46.0,46.71,50308.766633,2349922.48942743
2025-01-10,46.71,48.16,46.63,47.99,43088.075889,2067796.76191311
2025-01-11,47.99,48.06,46.89,47.53,19867.103216,944283.41585648
2025-01-12,47.53,48.13,47.28,47.83,19806.627246,947350.98117618
2025-01-13,47.84,48.33,44.51,47.22,75442.874883,3562412.5519752596
2025-01-14,47.18,50.09,46.71,49.45,77567.983901,3835736.80390445
2025-01-15,49.47,51.35,49.0,51.29,57338.363054,2940884.64103966
2025-01-16,51.28,51.35,48.29,49.39,75088.560603,3708624.0081821703
2025-01-17,49.38,61.55,49.35,58.7,855005.914648,50188847.189837605
2025-01-18,58.69,58.69,53.5,57.83,257204.670856,14874146.11560248
2025-01-19,57.83,59.65,55.15,56.33,291225.779923,16404748.18306259
2025-01-20,56.32,62.0,55.85,58.06,506623.78007,29414576.6708642
2025-01-21,58.06,60.49,57.4,58.49,136575.769781,7988316.774490691
2025-01-22,58.45,59.0,55.0,55.56,166672.566238,9260327.78018328
2025-01-23,55.56,57.3,52.68,53.95,307677.658425,16599209.67202875
2025-01-24,53.95,57.0,53.95,55.29,130900.581862,7237493.17114998
2025-01-25,55.29,55.95,53.83,55.36,86596.840218,4794001.0744684795
2025-01-26,55.36,55.5,54.0,54.09,37029.275175,2002913.4942157504
2025-01-27,54.08,54.1,49.3,53.69,157800.169414,8472291.09583766
2025-01-28,53.71,54.24,52.06,53.25,49218.09938,2620863.791985
2025-01-29,53.24,55.8,53.15,54.53,69605.476698,3795586.64434194
2025-01-30,54.53,56.73,54.5,56.17,51491.975622,2892304.27068774
2025-01-31,56.17,56.28,52.6,52.95,56273.529005,2979683.36081475
2025-02-01,52.97,53.48,51.02,51.07,48228.257402,2463017.1055201404
2025-02-02,51.07,52.45,48.0,48.67,104959.669547,5108387.11685249
2025-02-03,48.7,49.89,44.66,49.76,211407.173302,10519620.94350752
2025-02-04,49.79,49.82,46.4,47.02,89334.661873,4200515.80126846
2025-02-05,47.01,47.8,46.0,46.99,45730.266422,2148865.21916978
2025-02-06,47.0,48.0,44.68,44.77,57945.131306,2594203.52856962
2025-02-07,44.78,47.49,44.7,46.27,66106.59423,3058752.1150221005
2025-02-08,46.26,48.11,45.56,47.81,58134.247712,2779398.38311072
2025-02-09,47.81,49.6,46.03,47.51,104135.943978,4947498.69839478
2025-02-10,47.5,48.9,46.52,48.84,58111.143783,2838148.26236172
2025-02-11,48.84,52.08,48.7,50.7,119939.961745,6080956.0604715
2025-02-12,50.7,52.38,49.44,51.89,77771.131443,4035544.0105772703
2025-02-13,51.93,53.0,50.12,51.36,80989.306557,4159610.78476752
2025-02-14,51.38,53.0,51.19,51.8,46330.106718,2399899.5279924
2025-02-15,51.8,52.27,51.25,52.05,25035.60894,1303103.4453269998
2025-02-16,52.05,52.42,51.4,51.57,21277.464903,1097278.86504771
2025-02-17,51.57,51.7,50.3,50.54,43672.716238,2207219.07866852
2025-02-18,50.51,50.69,48.57,49.33,42930.160245,2117744.80488585
2025-02-19,49.35,50.15,49.18,49.9,25829.235,1288878.8265
2025-02-20,49.89,50.33,48.8,49.44,45601.017389,2254514.29971216
2025-02-21,49.44,50.06,48.42,48.89,58713.035587,2870480.30984843
2025-02-22,48.92,49.59,48.82,49.48,15195.271884,751862.0528203199
2025-02-23,49.48,49.8,47.99,49.37,29524.596698,1457629.33898026
2025-02-24,49.36,49.48,46.2,46.35,64027.77089,2967687.1807515
2025-02-25,46.36,47.37,44.4,46.09,106685.570986,4917137.9667447405
