timestamp,open,high,low,close,volume,liquidity_usd
2024-09-13,20.66,20.96,19.67,20.51,110256.803,2261367.02953
2024-09-14,20.51,20.61,19.68,19.89,57227.3193,1138251.380877
2024-09-15,19.89,21.13,19.21,19.38,114458.618,2218208.0168399997
2024-09-16,19.37,20.0,18.82,19.19,91633.4761,1758446.4063590001
2024-09-17,19.18,20.65,18.88,20.12,68950.4158,1387282.365896
2024-09-18,20.1,21.89,19.82,21.85,210853.7677,4607154.824245
2024-09-19,21.85,23.04,21.61,22.04,186178.3508,4103370.8516319995
2024-09-20,22.04,23.69,21.36,22.74,149266.7055,3394324.88307
2024-09-21,22.73,22.96,22.01,22.94,54487.3727,1249940.3297380002
2024-09-22,22.92,23.56,21.39,22.47,98718.6682,2218208.4744539997
2024-09-23,22.48,24.0,21.76,23.55,130922.7243,3083230.157265
2024-09-24,23.55,24.6,23.27,24.29,138692.9647,3368852.112563
2024-09-25,24.29,24.93,22.6,22.71,123355.7871,2801409.9250410004
2024-09-26,22.7,24.83,22.26,24.46,193805.9329,4740493.118734
2024-09-27,24.45,26.06,23.94,25.22,150681.7518,3800193.7803959996
2024-09-28,25.21,25.83,24.04,24.71,114125.315,2820036.53365
2024-09-29,24.72,25.58,23.85,25.01,122678.1873,3068181.4643730004
2024-09-30,25.02,25.37,22.72,23.1,140013.1732,3234304.30092
2024-10-01,23.1,24.95,21.22,21.82,215326.794,4698430.64508
2024-10-02,21.82,22.96,20.78,21.33,89516.6001,1909389.0801329997
2024-10-03,21.31,22.0,20.05,20.74,101012.4665,2094998.5552099997
2024-10-04,20.73,22.2,20.51,22.08,69699.4311,1538963.438688
2024-10-05,22.07,23.32,21.82,22.88,64683.2073,1479951.783024
2024-10-06,22.9,23.49,22.49,23.03,41441.4645,954396.9274350001
2024-10-07,23.03,23.73,22.04,22.11,88123.9001,1948419.4312109998
2024-10-08,22.12,22.5,21.09,21.47,72131.7346,1548668.3418619998
2024-10-09,21.48,21.96,20.09,20.45,60056.0746,1228146.72557
2024-10-10,20.44,20.92,19.84,20.8,50151.9037,1043159.5969600001
